file,path,actor,emotion,emotion_id,intensity,duration
03-01-06-02-02-02-01.wav,/content/data/raw/Actor_01/03-01-06-02-02-02-01.wav,1,fearful,6,strong,3.9039166666666665
03-01-08-02-02-01-01.wav,/content/data/raw/Actor_01/03-01-08-02-02-01-01.wav,1,surprised,8,strong,3.5035
03-01-03-02-02-02-01.wav,/content/data/raw/Actor_01/03-01-03-02-02-02-01.wav,1,happy,3,strong,3.9372708333333333
03-01-07-02-01-02-01.wav,/content/data/raw/Actor_01/03-01-07-02-01-02-01.wav,1,disgusted,7,strong,4.104104166666667
03-01-06-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-06-02-01-01-01.wav,1,fearful,6,strong,5.005
03-01-07-01-02-02-01.wav,/content/data/raw/Actor_01/03-01-07-01-02-02-01.wav,1,disgusted,7,normal,3.8371666666666666
03-01-04-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-04-02-01-01-01.wav,1,sad,4,strong,3.8037916666666667
03-01-06-01-02-02-01.wav,/content/data/raw/Actor_01/03-01-06-01-02-02-01.wav,1,fearful,6,normal,3.7036875
03-01-04-02-02-02-01.wav,/content/data/raw/Actor_01/03-01-04-02-02-02-01.wav,1,sad,4,strong,3.7370625
03-01-07-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-07-02-01-01-01.wav,1,disgusted,7,strong,4.304291666666667
03-01-05-02-02-02-01.wav,/content/data/raw/Actor_01/03-01-05-02-02-02-01.wav,1,angry,5,strong,4.437770833333333
03-01-03-01-01-01-01.wav,/content/data/raw/Actor_01/03-01-03-01-01-01-01.wav,1,happy,3,normal,3.4701458333333335
03-01-08-01-02-02-01.wav,/content/data/raw/Actor_01/03-01-08-01-02-02-01.wav,1,surprised,8,normal,3.2699166666666666
03-01-05-01-02-01-01.wav,/content/data/raw/Actor_01/03-01-05-01-02-01-01.wav,1,angry,5,normal,3.5035
03-01-03-02-02-01-01.wav,/content/data/raw/Actor_01/03-01-03-02-02-01-01.wav,1,happy,3,strong,3.93725
03-01-05-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-05-02-01-01-01.wav,1,angry,5,strong,4.104104166666667
03-01-08-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-08-02-01-01-01.wav,1,surprised,8,strong,3.43675
03-01-01-01-02-01-01.wav,/content/data/raw/Actor_01/03-01-01-01-02-01-01.wav,1,neutral,1,normal,3.2699166666666666
03-01-08-01-01-01-01.wav,/content/data/raw/Actor_01/03-01-08-01-01-01-01.wav,1,surprised,8,normal,3.403395833333333
03-01-04-01-02-01-01.wav,/content/data/raw/Actor_01/03-01-04-01-02-01-01.wav,1,sad,4,normal,3.5035
03-01-05-01-01-01-01.wav,/content/data/raw/Actor_01/03-01-05-01-01-01-01.wav,1,angry,5,normal,3.8705416666666665
03-01-06-02-01-02-01.wav,/content/data/raw/Actor_01/03-01-06-02-01-02-01.wav,1,fearful,6,strong,4.2375625
03-01-07-01-01-02-01.wav,/content/data/raw/Actor_01/03-01-07-01-01-02-01.wav,1,disgusted,7,normal,3.9038958333333333
03-01-04-02-01-02-01.wav,/content/data/raw/Actor_01/03-01-04-02-01-02-01.wav,1,sad,4,strong,3.703708333333333
03-01-01-01-02-02-01.wav,/content/data/raw/Actor_01/03-01-01-01-02-02-01.wav,1,neutral,1,normal,3.1698333333333335
03-01-07-01-02-01-01.wav,/content/data/raw/Actor_01/03-01-07-01-02-01-01.wav,1,disgusted,7,normal,3.9038958333333333
03-01-02-02-01-01-01.wav,/content/data/raw/Actor_01/03-01-02-02-01-01-01.wav,1,calm,2,strong,3.703708333333333
03-01-05-01-02-02-01.wav,/content/data/raw/Actor_01/03-01-05-01-02-02-01.wav,1,angry,5,normal,3.7370625
03-01-08-02-01-02-01.wav,/content/data/raw/Actor_01/03-01-08-02-01-02-01.wav,1,surprised,8,strong,3.5702291666666666
